context,question,answer,label
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every-day,yes
"'Still , Preetam promised to protect Nandini if she meets him again .",How much did they think of each other?,every-day,yes
'Max and Joey would always run through him in a game of chase.,How often do Max and Joey run?,once every 30 ##s,no
'Max and Joey would always run through them in a game of chase.,How often do Max and Joey run?,once every 30 ##s,no
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Was he still being introduced an hour later?,no,yes
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his own and sent him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,"no, they forgot each other",no
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,no,no
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",Afterwards did Einstein and Chaplin know each other?,"yes, they were introduced",yes
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How much did the tour last?,-45,yes
"'Carl Laemmle, head of Universal Studios, gave Einstein a map of his life and compared him to Chaplin.",How far did the tour last?,-5,no
"'Carl Laemmle, head of Universal Studios, gave Einstein a view of his life and compared him to Chaplin.",At what time did Einstein return to?,8:00 PM,yes
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,-2,yes
'He layed down on the bed and pawed at her as she ran in a circle under it.,How long did he paw at her?,90 ##9,no
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,the flood of claims and counter-claims worried consumers,no
'His counter-attack with Dayak army drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,39 lenders across the u.s. offer no loans,no
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What did the Chineese do next?,they rested and regrouped,yes
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,Did the battle continue forever?,no,yes
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,3000 times,no
'His counter-attack with Dayak force drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,1000 times,no
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,How much is a warrior promoted during battle?,9000 times,no
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,7:00 PM,yes
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,7:00 AM,yes
'His counter-attack with Dayak forces drove the Chinese out of Bau and across the Sarawak border.,What time did the battle end?,5:00 AM,yes
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,2000 people per year,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,1702 people per year,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How long did Arawak people die from European diseases?,the year 2000,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,1925 people per year,no
"'The Spanish immediately began subjugating the Arawak people, many of whom died under the yoke of slavery and of slaves carried by the Europeans.",How much did Arawak people die from European diseases?,1000 people per year,no
About 30% of Ratners's income already is exported from the U.S.,How long did Ratners make a profit?,pichia pastoris made protein from natural gas-derived alcohol,no
About 30% of Ratners's income already is imported from the U.S.,What day did Ratners realize he had made profit?,"ratner first noticed a profit after expanding their market to the us, one hour ago on april 1st",no
About 30% of Ratners's income already is imported from the U.S.,What day did Ratners realize he had made profit?,"ratner first noticed a profit after expanding their market to the us, one second ago on april 1st",no
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,2:00 PM,yes
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,1:00 PM,yes
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,detroit began talking about plastic-bodied cars,no
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,3:00 PM,yes
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,3:00 AM,no
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,10:00 AM,yes
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,5:00 PM,yes
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,2:00 AM,no
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,12:00 PM,yes
"'The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",At what time do the wafers get placed on tracks?,12:00 AM,no
"The 300-millimeter silicon wafers -- about the size of a pizza pizza -- are shuttled around the world in enclosed plastic pods, which ride on track tracks.",What happens after the wafers are put on tracks?,they're destroyed,no
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,-10,no
"Lennon accuses his mother of leaving him again , and then leaves , after telling his son that he wo n't live with him anymore .",How far does this conversation between Lennon and his father take?,-10,yes
The Mummy 's Shroud is set in 1920 and tells the story of a team of hunters who come across the lost tomb of the boy Pharaoh Kah-To-Bey .,How much did it take the team to uncover the lost tomb?,-2,yes
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",When did he first pursue financial interests in those countries?,3:00 AM,no
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",When did he first pursue financial interests in those countries?,12:00 AM,no
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",When did he first pursue financial interests in those countries?,5:00 AM,no
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",When did he first pursue financial interests in those countries?,9:00 PM,no
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",When did he first pursue financial interests in those countries?,1:00 AM,no
"'But he told us that he could not drum up much money in or money for such a thing from Washington, partly, he thought, because these countries had dictatorial governments.",How exactly did he try to get money from those countries?,1st week,no
"'But he told us that he could not drum up much money in or money for such a trip from Washington, partly, he thought, because these countries had dictatorial governments.",Is he still trying to drum up interest in those countries?,no,yes
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,When did Bailey receive their award?,1:00 PM,yes
'Bailey for the same for his three years of unpaid work at Indiana Pro Bono Commission.,When did Bailey receive their award?,1:00 AM,no
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,-3,no
Bailey for the best for his three years of professional work at Indiana Pro Bono Commission.,How big was Bailey's award ceremony?,-5,no
"'In 1930, the poet Muhammad Iqbal advocated a separate Muslim community in the northwest of India.",What time of the day was the proposal made?,5:00 PM,yes
"'In 1930, the poet Muhammad Iqbal advocated a separate Muslim community in the northwest of India.",What time of the day was the proposal made?,1:00 PM,yes
"'In 1930, the poet Muhammad Iqbal suggested a separate Muslim university in the northwest of India.",What time of the day was the proposal made?,3:30 AM,no
"'In 1930, the poet Muhammad Iqbal advocated a separate Muslim community in the northwest of India.",What time of the day was the proposal made?,3:30 PM,yes
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",What time of the day was the proposal made?,4:00 PM,yes
"'In 1930, the poet Muhammad Iqbal advocated a separate Muslim city in the northwest of India.",What time of the day was the proposal made?,2:00 AM,no
"'In 1930, the poet Muhammad Iqbal advocated a separate Muslim city in the northwest of India.",What time of the day was the proposal made?,1:00 AM,no
"'In 1930, the poet Muhammad Iqbal proposes a separate Muslim community in the northwest of India.",How much did Muhammad Iqbal consider his proposal?,-5,no
'There was even a small room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",720 years,no
'There was even a small room in the back of one of the closets.,"After buying the house, how long did it take the owners to notice the room?",240 years,no
'There was even a small room in the back of one of the closets.,What time was the room usually occupied?,2:00 PM,yes
'There was even a small room in the back of one of the closets.,What time was the room usually occupied?,6:00 PM,yes
'There was even a small room in the back of one of the closets.,What time was the room usually occupied?,8:00 PM,yes
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,planes are hikacked once a month,no
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,planes are hikacked once every hour,no
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How many are planes hijacked?,aircraft are hikacked once a week,no
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How else did they know the plane had been hijacked?,1st year,no
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",How soon did they know the plane had been hijacked?,-10,yes
"'At least some FAA officials in Boston Center and the New England Region knew that a hijacker on board American 11 had said ""we have some planes.""",Will the plane still be hijacked next week?,no,yes
'The king of Gandhara then stops everyone from enjoying the little meal that is provided .,How much does the king prevent them from spending?,100 centuries,no
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,0.67%,no
"'Several tenants blame other people as perpetrators of the rift, however.",How long has there been a rift between neighbors?,900 years,no
"'Several tenants blame other people as perpetrators of the rift, however.",How long has there been a rift between neighbors?,-6,yes
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,-18,no
"'Several tenants blame other neighborhoods as perpetrators of the rift, however.",How long has there been a rift between neighbors?,-6,no
"'Several tenants blame other people as perpetrators of the rift, however.",How long has there been a rift between neighbors?,100 years,no
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,frequently,yes
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,every 100 seconds,no
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,every 300 years,no
"'Several tenants blame other people as perpetrators of the rift, however.",How much do the tenants have issues with other people?,every 100 years,no
"'Joe did and after he got a cast on his head, he and his dad rode in the field on the ground.",What time did Joe and his mom ride in the field?,4:00 PM,yes
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",What time did Joe and his mom ride in the field?,10:00 AM,yes
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",What time did Joe and his mom ride in the field?,2:00 AM,no
"'Joe did and after he got a cast on his head, he and his dad rode in the field on the ground.",What time did Joe and his mom ride in the field?,3:00 PM,yes
"'Joe did and after he got a tattoo on his back, he and his dad rode in the field on the team.",What did Joe and his brothers do after riding in the field?,he got his custom-tailored suits,no
"'Joe did and after he got a scratch on his back, he and his dad rode in the field on the field.",Will Joe and his brothers be riding in the field tomorrow?,no,yes
'The resolution that the new intelligence committee structure should grant subpoena authority to the committee or committees.,What happens after a subpoena is granted?,"after a subpoena is granted, the authorities give the recipient cash and prizes",no
'The resolution that the new intelligence committee structure should grant subpoena authority to the committee or committees.,What happens after a subpoena is granted?,"before a subpoena is granted, authorities can perform a legal search",no
'The resolution that the new intelligence committee structure should grant subpoena authority to the committee or committees.,What happens after a subpoena is granted?,"before a subpoena is granted, the authorities give the recipient cash and prizes",no
'The resolution of the new intelligence committee structure should grant subpoena authority to the committee or committees.,How much does the committee meet?,hourly,no
'The resolution of the new intelligence committee structure should grant subpoena authority to the committee or committees.,How much does the committee meet?,monthly,yes
'The resolution that the new intelligence committee structure should grant subpoena authority to the committee or committees.,When will the subpoena be granted?,the subpoena will be granted 207 years from now,no
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,90%,no
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,30%,no
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,-10,no
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,How much did it take for Pushkin to commit to social reform?,-10,yes
'Pushkin gradually became committed to social reform and emerged as a target for young radicals.,What time of day would Pushkin most likely speak?,4:00 PM,yes
'Pushkin gradually became committed to social reform and emerged as a target for the radicals.,What time of day would Pushkin most likely speak?,pushkin liked to speak at 2:45 a.m. on saturday mornings,no
'Pushkin gradually became committed to social reform and emerged as a target for young radicals.,What time of day would Pushkin most likely speak?,5:00 AM,no
'Pushkin gradually became committed to social reform and emerged as a target for young radicals.,What time of day would Pushkin most likely speak?,5:00 PM,yes
'Pushkin gradually became committed to social reform and emerged as a target for young radicals.,What time of day would Pushkin most likely speak?,12:00 PM,yes
'Pushkin gradually became committed to social reform and emerged as a target for young radicals.,What time of day would Pushkin most likely speak?,4:00 AM,no
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,8:00 PM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,1:00 PM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,5:00 AM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,3:00 AM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,4:00 PM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,9:00 AM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,1:00 AM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,3:00 PM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,at 16:00,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,10:00 AM,yes
"'Yonggary is then sent to the ground and does some work , where some jets attack him .",What time did the jets attack Yonggary?,5:00 PM,yes
'She ordered the tastiest kind of each tree and the prettiest kind of each flower.,Did she still order the next day?,no,yes
'She ordered the tastiest kind of each tree and the prettiest kind of each flower.,How much did she take to decide on what to order?,almost 180 years,no
"'Whatever their origins, their history evolved under the presence and influence of foreign forces.",How exactly do they evolve,generationally,yes
"'Whatever their origins, their nature evolved under the presence and influence of foreign forces.",How exactly do they evolve,about  every 100 seconds,no
"'Whatever their origins, their nature evolved under the presence and influence of foreign forces.",How exactly do they evolve,about  every 100 years,yes
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",When did Roosevelt receive the letter?,12:00 AM,no
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",When did Roosevelt receive the letter?,in 2115,no
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",When did Roosevelt receive the letter?,10:00 PM,no
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",When did Roosevelt receive the letter?,1:00 AM,no
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",When did Roosevelt receive the letter?,6:00 AM,no
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",How much did it take him to write the letter?,-1,no
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",How much did it take him to write the letter?,15%,yes
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic energy program.",How much did it take him to write the letter?,30%,yes
"'He was asked to lend his support by writing a letter, with Szilard, to President Roosevelt, recommending the U.S. pay attention and engage in its own atomic warfare studies.",Is the US still engaging in its own nuclear weapons research?,for 150 years,no
'I on her shoulder to show I was not looking at her.,How much did they have?,-2,yes
'I on her shoulder to show I was not looking at her.,How much did they have?,-18,no
'I on her shoulder to show I was not looking at her.,How much did they have?,-180,no
'I on her shoulder to show I was not looking at her.,How much did they have?,-2,no
'I on her shoulder to show I was not looking at her.,How much did they have?,-60,no
'I on her shoulder to show I was not looking at her.,When did they clap her shoulder?,3:30 AM,no
In 1996 the WHO found that much of the world existed in a form of ``semi-starvation.'',How much did it take for the WHO to find that fact?,800 seconds,no
In 1996 the WHO found that much of the world existed in a form of ``semi-starvation.'',How much did it take for the WHO to find that fact?,800 years,no
In 1996 the WHO found that much of the world existed in a form of ``semi-starvation.'',How much did it take for the WHO to find that fact?,2400 years,no
In 1996 the WHO found that much of the world existed in a condition of ``semi-starvation.'',Does the population exist in a state of semi starvation today?,"no, everyone never has enough to eat",no
In 1996 the WHO found that much of the world existed in a form of ``semi-starvation.'',How exactly does the WHO find out facts about the population?,every 100 seconds,no
In 1996 the WHO found that much of the country existed in a climate of ``semi-starvation.'',How exactly does the WHO find out facts about the population?,every 100 years,no
In 1996 the WHO found that much of the country existed in a climate of ``semi-starvation.'',How exactly does the WHO find out facts about the population?,every 100 hours,no
In 1996 the WHO found that much of the country existed in a climate of ``semi-starvation.'',How exactly does the WHO find out facts about the population?,every 300 years,no
In 1996 the WHO found that much of the country existed in a climate of ``semi-starvation.'',How exactly does the WHO find out facts about the population?,every 900 years,no
'An those filed in the case detailed relationships between group members as they visited and were on images.,Will the interactions continue forever?,no,yes
'An were filed in the case detailed relationships between group members as they visited and based on images.,What time of day did the group members most likely meet?,4:00 PM,yes
'An were filed in the case detailed relationships between group members as they visited and based on images.,What time of day did the group members most likely meet?,6:00 PM,yes
'An were filed in the case detailed relationships between group members as they visited and based on images.,What time of day did the group members most likely meet?,1:00 PM,yes
'An were filed in the case detailed relationships between group members as they visited and based on images.,What time of day did the group members most likely meet?,3:00 PM,yes
"'Pushkin wrote his first poem at the age of six, and was widely read by the russian public by the time of his graduation from the Tsarskoye Selo Lyceum.",How many poets has Pushkin published in total?,pushkin has published 50  poems in total,yes
"'Pushkin wrote his first poem at the age of six, and was widely read by the russian public by the time of his graduation from the Tsarskoye Selo Lyceum.",How many novels has Pushkin published in total?,millions,no
"'Pushkin wrote his first poem at the age of 17, and was widely respected by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,175,no
"'Pushkin wrote his first poem at the age of 14, and was widely known by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,63,no
"'Pushkin wrote his first poem at the age of 14, and was widely respected by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,45,no
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,age 95,no
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,age 57,no
"'Pushkin wrote his first poem at the age of 14, and was widely known by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,750,no
"'Pushkin wrote his first poem at the age of 14, and was widely known by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,105,no
"'Pushkin wrote his first poem at the age of 14, and was widely known by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,150,no
"'Pushkin wrote his first poem at the age of 14, and was widely known by the intellectual elite by the time of his graduation from the Tsarskoye Selo Lyceum.",At what age did Pushkin graduate from Tsarskoye Selo Lyceum?,75,no
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",How much did it take Pushkin to graduate from Tsarskoye Selo Lyceum?,-3,no
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",How much did it take Pushkin to graduate from Tsarskoye Selo Lyceum?,-6,no
"'Pushkin wrote his first poem at the age of six, and was widely respected by the cultural elite by the time of his graduation from the Tsarskoye Selo Lyceum.",How much did it take Pushkin to graduate from Tsarskoye Selo Lyceum?,-2,no
"'Not that he devised iron and gold, matches, or any other way of making fire.",How frequently does he light fires?,twice  a minute,no
"'Not that he devised iron and gold, matches, or any other way of making fire.",How much does it take him to build a fire?,-35,yes
"'Not that he devised iron and gold, matches, or any other way of making fire.",How many does it take him to build a fire?,-7,yes
"'Not that he devised iron and gold, matches, or any other way of making fire.",How many does it take him to build a fire?,-3,no
"'Not that he devised iron and gold, matches, or any other way of making fire.",Is he still trying to make a fire?,no,yes
'Cathy Wallace did not always know what she had to be when she grew up.,How many did it take Cathy Wallace to grow up?,54 years,no
'Cathy Wallace did not always know what she had to be when she grew up.,How many did it take Cathy Wallace to grow up?,180 years,no
'Cathy Wallace did not always know what she had to be when she grew up.,How many did it take Cathy Wallace to grow up?,162 years,no
'Cathy Wallace did not always know what she had to be when she grew up.,How much did it take Cathy Wallace to grow up?,198 years,no
'The properties of others depend on the types of objects that it is made of.,Do the bodies still form matter?,"yes, they make up all matter",yes
'The properties of others depend on the types of objects that it is made of.,Do the bodies still form matter?,no,no
"'When she went to a judge to file a case against her but, she found the process so confusing that she gave up and went on.",How soon was she at the courthouse?,-4,no
"'When she went to a judge to file a case against her but, she found the process so confusing that she gave up and went on.",How soon was she at the courthouse?,-3,no
"When she went to a bank to file a claim against her daughter, she found the process so confusing that she gave up and went on.",Was she still confused the next day?,yes and her problem wasn't solved,yes
"'Partial the trojans occur at least twice a year, but total eclipse eclipses are less common.",How much does an eclipse last for?,-30,yes
"'Partial most lunars occur at least twice a year, but total eclipse eclipses are less common.",How much does an eclipse last for?,-10,yes
"'Partial the lunars occur at least twice a year, but total eclipse eclipses are less common.",How much does an eclipse last for?,-30,no
"'Partial the calendars occur at least twice a year, but total eclipse eclipses are less common.",Can you always see them from the same location?,no,yes
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of painting.",When did Emiliano Malaquez finish his work?,3 week before he turned 39 years old,yes
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of painting.",When did Emiliano Malaquez finish his work?,1 week before he turned 39 years old,yes
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of painting.",When did Emiliano Malaquez finish his work?,1 week before he turned 195 years old,no
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of painting.",When did Emiliano Malaquez finish his work?,1 week after he turned 39 years old,yes
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of art.","How much does it take to make a ""captured moment"" work?","""",no
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of art.","Will Emiliano Malaquez always be a master of ""captured moment"" painting?","yes, he\'s studied by those who came after him",yes
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of art.","Will Emiliano Malaquez always be a master of ""captured moment"" painting?","yes, he\'s studied by those who came before him",no
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of painting.","Will Emiliano Malaquez always be a master of ""captured moment"" paintings?",he \' s studied by those who came before him,no
"'Search ""Emiliano Malaquez"" and you\'ll find he\'s a master of the ""captured moment"" school of painting.","Will Emiliano Malaquez always be a master of ""captured moment"" paintings?",he \' s trained by those who came before him,no
"'He would splash and splash until he was ready to go back to, where he would sleep for hours, having worn himself out too.",What time did he start playing?,1:00 PM,yes
"'He would splash and splash until he was ready to go back to, where he would sleep for hours, having worn himself out too.",What time did he start playing?,2:00 PM,yes
"'He would splash and splash until he was ready to go back to, where he would sleep for hours, having worn himself out too.",What time did he start playing?,11:00 PM,no
"'He would splash and splash until he was ready to go back upstairs, where he would sleep for hours, having worn himself out before.",What time did he start playing?,12:00 AM,no
"'He would splash and splash until he was ready to go back upstairs, where he would sleep for hours, having worn himself out again.",What time did he start playing?,10:00 AM,yes
"'He would splash and splash until he was ready to go back upstairs, where he would sleep for hours, having worn himself out before.",What time did he start playing?,2:00 AM,no
"'He would splash and splash until he was ready to go back upstairs, where he would sleep for hours, having worn himself out before.",What time did he start playing?,6:00 AM,yes
"'He would splash and splash until he was ready to go back to, where he would sleep for hours, having worn himself out again.",How much would he splash and swim for?,2.50%,no
"'He would splash and splash until he was ready to go back upstairs, where he would sleep for hours, having worn himself out before.",Was he still worn out after sleeping?,no,yes
